Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0199,Tree / Forest,Vegetation,187.62,0.0188,0.0464,224.39,64.81,6,85%,Pending Review
CAD-0200,Tree / Forest,Vegetation,11.9,0.0012,0.0029,14.23,18.71,8,85%,Pending Review
CAD-0201,Tree / Forest,Vegetation,33.6,0.0034,0.0083,40.19,23.04,11,85%,Pending Review
CAD-0202,Tree / Forest,Vegetation,25.87,0.0026,0.0064,30.94,22.24,11,85%,Pending Review
CAD-0203,Tree / Forest,Vegetation,31.94,0.0032,0.0079,38.2,24.56,9,85%,Pending Review
CAD-0204,Tree / Forest,Vegetation,4.49,0.0004,0.0011,5.37,8.57,9,85%,Pending Review
CAD-0205,Tree / Forest,Vegetation,8.99,0.0009,0.0022,10.75,12.73,8,85%,Pending Review
CAD-0206,Tree / Forest,Vegetation,71.93,0.0072,0.0178,86.03,32.5,13,85%,Pending Review
CAD-0207,Tree / Forest,Vegetation,10.04,0.001,0.0025,12.01,16.53,9,85%,Pending Review
CAD-0208,Tree / Forest,Vegetation,22.33,0.0022,0.0055,26.71,22.75,9,85%,Pending Review
CAD-0209,Tree / Forest,Vegetation,3.52,0.0004,0.0009,4.21,9.46,10,85%,Pending Review
CAD-0210,Tree / Forest,Vegetation,2.73,0.0003,0.0007,3.27,8.04,10,85%,Pending Review
CAD-0211,Tree / Forest,Vegetation,272.82,0.0273,0.0674,326.29,64.03,9,85%,Pending Review
CAD-0212,Tree / Forest,Vegetation,540.19,0.054,0.1335,646.07,111.92,11,85%,Pending Review
CAD-0213,Tree / Forest,Vegetation,4.72,0.0005,0.0012,5.65,10.64,8,85%,Pending Review
CAD-0214,Tree / Forest,Vegetation,4.72,0.0005,0.0012,5.65,15.85,8,85%,Pending Review
CAD-0215,Tree / Forest,Vegetation,8.0,0.0008,0.002,9.57,12.71,12,85%,Pending Review
CAD-0216,Tree / Forest,Vegetation,47.09,0.0047,0.0116,56.32,31.17,10,85%,Pending Review
CAD-0217,Tree / Forest,Vegetation,210.88,0.0211,0.0521,252.21,62.3,8,85%,Pending Review
CAD-0218,Tree / Forest,Vegetation,10.27,0.001,0.0025,12.28,17.56,9,85%,Pending Review
CAD-0219,Tree / Forest,Vegetation,98.75,0.0099,0.0244,118.1,62.7,9,85%,Pending Review
CAD-0220,Tree / Forest,Vegetation,25.65,0.0026,0.0063,30.68,21.28,10,85%,Pending Review
CAD-0221,Tree / Forest,Vegetation,18.75,0.0019,0.0046,22.43,17.35,9,85%,Pending Review
CAD-0222,Tree / Forest,Vegetation,39.95,0.004,0.0099,47.78,25.92,12,85%,Pending Review
CAD-0223,Tree / Forest,Vegetation,12.9,0.0013,0.0032,15.43,15.37,9,85%,Pending Review
CAD-0224,Tree / Forest,Vegetation,66.49,0.0066,0.0164,79.52,47.59,10,85%,Pending Review
CAD-0225,Tree / Forest,Vegetation,180.14,0.018,0.0445,215.45,52.44,11,85%,Pending Review
CAD-0226,Tree / Forest,Vegetation,22.77,0.0023,0.0056,27.23,32.1,7,85%,Pending Review
CAD-0227,Playground / Open Turf,Land,29.35,0.0029,0.0073,35.1,26.32,9,82%,Pending Review
CAD-0228,Playground / Open Turf,Land,29.16,0.0029,0.0072,34.88,24.17,12,82%,Pending Review
CAD-0229,Playground / Open Turf,Land,24.71,0.0025,0.0061,29.55,22.48,11,82%,Pending Review
CAD-0230,Playground / Open Turf,Land,35.54,0.0036,0.0088,42.51,25.79,13,82%,Pending Review
CAD-0231,Playground / Open Turf,Land,24.45,0.0024,0.006,29.24,22.09,13,82%,Pending Review
CAD-0232,Playground / Open Turf,Land,22.5,0.0022,0.0056,26.91,20.31,11,82%,Pending Review
CAD-0233,Playground / Open Turf,Land,25.1,0.0025,0.0062,30.02,22.15,11,82%,Pending Review
CAD-0234,Playground / Open Turf,Land,23.64,0.0024,0.0058,28.27,22.27,11,82%,Pending Review
CAD-0235,Playground / Open Turf,Land,26.16,0.0026,0.0065,31.29,24.12,11,82%,Pending Review
CAD-0236,Playground / Open Turf,Land,24.63,0.0025,0.0061,29.46,25.04,10,82%,Pending Review
CAD-0237,Playground / Open Turf,Land,33.43,0.0033,0.0083,39.98,27.35,9,82%,Pending Review
CAD-0238,Agricultural Land,Land,27.08,0.0027,0.0067,32.39,32.14,8,80%,Pending Review
CAD-0239,Agricultural Land,Land,33.79,0.0034,0.0083,40.41,26.59,7,80%,Pending Review
CAD-0240,Agricultural Land,Land,27.38,0.0027,0.0068,32.75,35.59,7,80%,Pending Review
CAD-0241,Agricultural Land,Land,99.0,0.0099,0.0245,118.4,48.77,8,80%,Pending Review
CAD-0242,Agricultural Land,Land,171.96,0.0172,0.0425,205.66,73.46,9,80%,Pending Review
CAD-0243,Agricultural Land,Land,587.7,0.0588,0.1452,702.89,148.22,7,80%,Pending Review
CAD-0244,Agricultural Land,Land,22.32,0.0022,0.0055,26.69,23.83,11,80%,Pending Review
CAD-0245,Agricultural Land,Land,1111.05,0.1111,0.2745,1328.82,163.14,8,80%,Pending Review
CAD-0246,Agricultural Land,Land,144.31,0.0144,0.0357,172.59,49.39,12,80%,Pending Review
CAD-0247,Agricultural Land,Land,311.53,0.0312,0.077,372.59,150.2,8,80%,Pending Review
CAD-0248,Agricultural Land,Land,35.46,0.0035,0.0088,42.41,22.92,12,80%,Pending Review
CAD-0249,Agricultural Land,Land,89.7,0.009,0.0222,107.28,40.31,10,80%,Pending Review
CAD-0250,Agricultural Land,Land,23.83,0.0024,0.0059,28.5,20.28,11,80%,Pending Review
CAD-0251,Agricultural Land,Land,153.27,0.0153,0.0379,183.31,97.69,6,80%,Pending Review
CAD-0252,Agricultural Land,Land,475.62,0.0476,0.1175,568.84,173.76,8,80%,Pending Review
CAD-0253,Agricultural Land,Land,31.8,0.0032,0.0079,38.03,30.21,12,80%,Pending Review
CAD-0254,Agricultural Land,Land,50.92,0.0051,0.0126,60.9,36.24,7,80%,Pending Review
CAD-0255,Agricultural Land,Land,83.3,0.0083,0.0206,99.63,40.21,11,80%,Pending Review
CAD-0256,Agricultural Land,Land,114.38,0.0114,0.0283,136.8,45.65,11,80%,Pending Review
CAD-0257,Agricultural Land,Land,80.55,0.0081,0.0199,96.34,111.41,5,80%,Pending Review
CAD-0258,Agricultural Land,Land,79.29,0.0079,0.0196,94.83,57.03,8,80%,Pending Review
CAD-0259,Agricultural Land,Land,86.37,0.0086,0.0213,103.3,59.54,8,80%,Pending Review
CAD-0260,Agricultural Land,Land,16.82,0.0017,0.0042,20.12,27.53,6,80%,Pending Review
CAD-0261,Agricultural Land,Land,24.26,0.0024,0.006,29.01,25.62,8,80%,Pending Review
CAD-0262,Agricultural Land,Land,117.77,0.0118,0.0291,140.85,59.78,8,80%,Pending Review
CAD-0263,Agricultural Land,Land,22.12,0.0022,0.0055,26.46,24.35,10,80%,Pending Review
